"","ID","LONG","LAT","ages","race","sex","income","Location","Price","Experience","Other","will_attend"
"1",30,-78.6194128996569,35.806993263074,28.364595187763,"Aisian/Other","M","100-150k",1,1,1,1,0
"2",151,-78.6124843662103,35.661254213161,37.6594642924973,"Hispanic","F","50-75k",1,1,1,1,0
"3",184,-78.6344383431156,35.9349032224972,42.7155264654286,"White","F","75-100k",1,1,1,2,0
"4",317,-78.5501993878149,35.6743888856231,45.2239480714149,"White","M","75-100k",1,1,1,2,0
"5",341,-78.5884660610364,35.7490532889555,30.7748336765119,"White","F","25-50k",1,1,1,3,0
"6",578,-78.5876226904656,35.8436858924722,38.5404546008629,"White","M","100-150k",1,1,1,1,0
"7",793,-78.5632164568195,35.7078278600133,30.5335488415953,"White","M","50-75k",1,1,1,3,1
"8",837,-78.4485535808935,35.7256480492394,39.8037244603087,"White","M","50-75k",1,1,1,1,0
"9",1383,-78.6381592742297,35.8294105277068,45.0108696153484,"Hispanic","F",">150k",1,1,2,1,0
"10",1579,-78.6228984034635,35.8203483183451,45.2710939523202,"White","F","25-50k",1,1,2,2,0
"11",2436,-78.7195277394463,35.7596273392268,28.2178082531066,"White","F","75-100k",1,1,1,2,0
"12",2439,-78.7395305726726,35.8099587070289,46.095664890134,"Hispanic","M","25-50k",1,1,2,3,0
"13",2877,-78.5913527407558,35.6759990771397,32.6438878332239,"Hispanic","F","75-100k",1,1,2,1,0
"14",2939,-78.5973896699295,35.6749381803571,59.4564264570422,"White","F","75-100k",1,1,2,2,0
"15",3009,-78.6070460735538,35.7954696984005,39.2985972036985,"White","F","50-75k",1,2,1,1,0
"16",3047,-78.6899495243577,35.7846746937342,35.3615233412094,"Black","F","<25k",1,1,1,3,1
"17",3109,-78.5785030545847,35.9320578454407,48.3707770090624,"Black","M","75-100k",1,2,1,2,0
"18",3142,-78.5110274737413,35.596988900777,51.4024232533621,"White","F","25-50k",1,1,1,2,0
"19",3340,-78.6712489585828,35.8517274733835,35.0843952882389,"White","M","25-50k",1,2,1,3,0
"20",3635,-78.5231145912489,35.7282004380158,46.4945749913895,"White","F",">150k",1,1,2,3,0
"21",3807,-78.5773341668023,35.7581890277863,50.6597199245869,"White","F","75-100k",1,2,2,1,0
"22",3957,-78.5313584178846,35.8282228341469,30.0842087332579,"White","F","25-50k",1,2,2,2,0
"23",4068,-78.5785815256605,35.9095239824416,44.5008586650499,"White","M","<25k",1,1,2,1,0
"24",4235,-78.6980154230784,35.7568806267781,45.0978268066327,"White","F","75-100k",1,1,2,2,0
"25",5500,-78.6236994165742,35.7330863922969,41.1404021794249,"White","M","<25k",1,2,2,3,0
"26",5657,-78.6279504816242,35.8526453202141,41.4958628695776,"White","F","25-50k",1,1,2,3,0
"27",5869,-78.5812267960344,35.8865541763414,40.9602571363034,"White","M","25-50k",1,2,1,1,0
"28",6077,-78.5302528434125,35.7501206979781,35.959162568491,"White","F","75-100k",1,2,1,1,0
"29",6256,-78.6035949709674,35.8443738025437,34.1644137436939,"Black","F",">150k",1,2,1,2,0
"30",7220,-78.6345421597943,35.7135600719108,38.4039032272086,"Black","F","50-75k",1,3,1,1,0
"31",7346,-78.6833223327025,35.9195044027318,34.0689367360444,"White","M","25-50k",1,2,1,2,1
"32",7627,-78.6566946057046,35.6233204333682,41.9810566397868,"White","F","100-150k",1,2,1,3,0
"33",7648,-78.4320445956976,35.7458038412584,39.5671147713448,"Aisian/Other","M","75-100k",1,1,1,3,0
"34",7649,-78.5951474238268,35.7789663375502,44.6015720698088,"White","M","50-75k",1,3,1,2,0
"35",8103,-78.6070534224318,35.8635569051082,50.320983315922,"White","F","25-50k",1,2,1,3,0
"36",8626,-78.7335582122599,35.8647202028493,42.2048929089339,"White","M","75-100k",1,3,1,3,0
"37",8672,-78.7297957261173,35.7092602831097,52.9676693445977,"White","M","100-150k",1,3,2,1,0
"38",8712,-78.5420666287102,35.8509266631425,42.7464795105507,"Aisian/Other","F","75-100k",1,2,2,1,0
"39",9126,-78.6650464651001,35.772473550931,35.5283534332075,"White","M",">150k",1,2,2,2,0
"40",9178,-78.5451424639868,35.7119453305446,43.1453443260502,"Hispanic","F","100-150k",1,2,2,1,0
"41",9213,-78.7406838091809,35.9240910615966,44.0798319444178,"White","M","100-150k",1,2,2,2,1
"42",9282,-78.4642181748217,35.9135702886838,32.3739239690505,"White","F","75-100k",1,2,2,3,1
"43",9990,-78.6255275327643,35.7394133577525,38.9983789638056,"White","F","25-50k",1,3,2,2,0
"44",10203,-78.6984450908483,35.7334789925117,39.7878628179634,"White","F","50-75k",1,2,2,3,1
"45",10354,-78.6692076680837,35.8378753769313,34.8146710902577,"White","F","25-50k",1,3,2,3,0
"46",11379,-78.6057783514075,35.8088462941407,42.0149269012639,"White","F","25-50k",1,4,1,1,0
"47",11391,-78.6334745717404,35.815851513393,47.4245619986662,"Black","F","75-100k",1,4,1,2,0
"48",11412,-78.6824058224751,35.6595058902445,46.0623659118756,"Hispanic","F","100-150k",1,4,1,3,0
"49",11560,-78.7044010468795,35.6575797893947,50.7622803678425,"Black","M","<25k",1,3,1,1,0
"50",11958,-78.5579128713963,35.7287735734905,40.5704961403419,"White","M","25-50k",1,3,1,2,0
"51",12087,-78.5405592232275,35.8437076931759,36.999945947396,"White","F","50-75k",1,3,1,1,0
"52",12748,-78.6823405422704,35.7873428523518,54.971043169959,"White","F","25-50k",1,3,1,2,0
"53",14317,-78.4183165300702,35.756722452263,44.6420837147276,"Black","M","<25k",1,1,2,1,0
"54",14405,-78.5694547603518,35.8538839796253,47.1203603548023,"White","F","75-100k",1,3,1,3,0
"55",14748,-78.7014156642659,35.7757968368824,38.5334643592716,"White","F","100-150k",1,3,2,1,0
"56",15256,-78.7074327253989,35.632654124494,43.1932790312653,"Black","F","25-50k",1,3,1,3,0
"57",15769,-78.6822542641957,35.7862734228248,34.4086802662023,"Hispanic","M","<25k",1,3,2,2,0
"58",16115,-78.6052816182596,35.9047587615948,50.5237479162294,"White","M","75-100k",1,3,2,3,0
"59",17125,-78.6530037307131,35.7891086745397,42.3723286504571,"White","M","100-150k",1,4,1,1,0
"60",17300,-78.6866408023268,35.8183559624689,58.428580011421,"White","M","50-75k",1,4,1,2,0
"61",17311,-78.6330182163207,35.8537386962257,45.3156710212668,"White","F","100-150k",1,4,2,1,0
"62",17350,-78.7379272721654,35.8275606982168,53.3731052804831,"White","F",">150k",1,4,2,2,0
"63",17422,-78.5206847648583,35.7049686416812,46.6627207572315,"Black","M","75-100k",1,3,2,1,0
"64",18128,-78.6368815981782,35.7430797540922,30.02908563477,"Hispanic","M","25-50k",1,4,1,3,0
"65",18196,-78.7011042951262,35.7750605874212,34.0079568933318,"White","M","75-100k",1,4,2,1,0
"66",18980,-78.6037073029596,35.9654976127322,46.5271826653326,"White","M","75-100k",1,4,2,3,0
"67",19069,-78.6534963584642,35.7520915038034,41.6900763645814,"White","F","75-100k",1,4,2,2,0
"68",19139,-78.5390383402472,35.8192556519352,36.331304049807,"White","F","50-75k",2,1,1,1,0
"69",19452,-78.8223308939869,35.7359892374309,42.3098279882655,"White","F","25-50k",1,4,2,3,0
"70",19484,-78.7056374566054,35.7929716442233,50.8337614608301,"White","F","25-50k",2,1,1,1,0
"71",19669,-78.5723683856459,35.7375811953944,37.1572458173129,"White","F","50-75k",2,1,1,2,0
"72",20492,-78.6727967808395,35.8300803416162,39.4247996048666,"Black","F","50-75k",2,1,1,2,0
